IP,Responsive,ICMP-IP-ID,isPORT80,TCP-IP-ID,SYN-Cookies,Likely OS,,,,,,,,
151.51.92.117,No,null,null,null,null,null,,,,,,,,
24.51.165.132,No,null,null,null,null,null,,,,isPORT80,ICMP-IP-ID,SYN-Cookies,Likely OS,%
176.131.255.159,No,null,null,null,null,null,,ICMP-IP-ID -ZERO,21,0.180851064,,0.265957447,0.978723404,0.223404255
186.49.61.145,Yes,random,No,null,null,Linux,,TCP-IP-ID -ZERO,24,0.819148936,,,,0.255319149
71.185.52.156,Yes,random,No,null,null,Linux,,ICMP-IP-ID -incr,36,,,,,0.382978723
76.189.165.215,No,null,null,null,null,null,,TCP-IP-ID -incr,0,,,,,0
91.154.136.222,No,null,null,null,null,null,,ICMP-IP-ID -rand,36,,,,,0.382978723
213.119.78.34,Yes,incremental,No,null,null,Linux,,TCP-IP-ID -rand,0,,,,,0
89.28.67.87,No,null,null,null,null,null,,,94,,,,,
79.7.149.231,Yes,random,Yes,zero,No,Linux,,,,,,,,
96.227.71.223,No,null,null,null,null,null,,,,,,,,
89.247.203.82,Yes,zero,No,null,null,Linux,,,,,,,,
78.248.152.108,No,null,null,null,null,null,,,,,,,,
77.130.155.26,Yes,incremental,Yes,zero,No,Linux,,,,,,,,
179.99.117.51,No,null,null,null,null,null,,,,,,,,
78.208.48.216,Yes,random,No,null,null,Linux,,,,,,,,
86.245.93.7,No,null,null,null,null,null,,,,,,,,
89.142.33.35,Yes,zero,No,null,null,Linux,,,,,,,,
79.58.158.72,No,null,null,null,null,null,,,,,,,,
193.95.220.117,No,null,null,null,null,null,,,,,,,,
80.146.110.216,Yes,zero,No,null,null,Linux,,,,,,,,
93.104.46.117,Yes,zero,No,null,null,Linux,,,,,,,,
185.28.225.242,No,null,null,null,null,null,,,,,,,,
134.73.55.10,Yes,random,No,null,null,Linux,,,,,,,,
179.228.173.135,No,null,null,null,null,null,,,,,,,,
2.224.173.21,No,null,null,null,null,null,,,,,,,,
83.135.236.78,Yes,zero,No,null,null,Linux,,,,,,,,
82.65.81.108,Yes,incremental,No,null,null,Linux,,,,,,,,
73.235.205.181,Yes,random,Yes,zero,No,Linux,,,,,,,,
87.123.49.136,Yes,zero,No,zero,No,Linux,,,,,,,,
73.103.85.233,Yes,incremental,No,zero,No,Linux,,,,,,,,
82.160.59.220,No,null,null,null,null,null,,,,,,,,
73.232.208.78,Yes,incremental,No,null,null,Linux,,,,,,,,
187.134.11.181,Yes,random,No,null,null,Linux,,,,,,,,
162.211.39.170,No,null,null,null,null,null,,,,,,,,
75.114.63.139,No,null,null,null,null,null,,,,,,,,
80.6.205.21,Yes,random,No,null,null,Cisco,,,,,,,,
143.178.254.141,No,null,null,null,null,null,,,,,,,,
82.124.193.69,No,null,null,null,null,null,,,,,,,,
31.201.249.191,No,null,null,null,null,null,,,,,,,,
31.151.253.77,Yes,incremental,Yes,zero,No,Linux,,,,,,,,
78.116.123.202,Yes,incremental,No,zero,No,Linux,,,,,,,,
189.230.36.85,Yes,random,No,zero,No,Linux,,,,,,,,
84.24.39.214,Yes,incremental,Yes,zero,No,Linux,,,,,,,,
178.23.112.105,No,null,null,null,null,null,,,,,,,,
106.75.76.83,Yes,random,No,null,null,Linux,,,,,,,,
217.121.154.149,Yes,incremental,Yes,zero,No,Linux,,,,,,,,
97.124.238.106,Yes,incremental,No,zero,No,Linux,,,,,,,,
93.25.186.232,No,null,null,null,null,null,,,,,,,,
87.143.191.8,No,null,null,null,null,null,,,,,,,,
73.142.73.94,Yes,random,Yes,zero,No,Linux,,,,,,,,
76.100.158.73,No,null,null,null,null,null,,,,,,,,
70.30.159.28,No,null,null,null,null,null,,,,,,,,
94.69.102.237,No,null,null,null,null,null,,,,,,,,
187.155.21.90,Yes,incremental,No,null,null,Linux,,,,,,,,
217.93.185.178,Yes,zero,No,null,null,Linux,,,,,,,,
87.11.38.104,No,null,null,null,null,null,,,,,,,,
84.162.12.7,No,null,null,null,null,null,,,,,,,,
31.0.223.102,Yes,random,No,null,null,Linux,,,,,,,,
190.15.59.188,Yes,incremental,No,null,null,Linux,,,,,,,,
70.122.214.15,Yes,null,No,null,null,Linux,,,,,,,,
173.72.196.148,Yes,random,No,null,null,Linux,,,,,,,,
99.185.75.67,No,null,null,null,null,null,,,,,,,,
203.118.128.110,Yes,incremental,No,null,null,Linux,,,,,,,,
86.88.120.8,Yes,incremental,No,null,null,Linux,,,,,,,,
106.52.115.145,Yes,random,Yes,zero,No,Linux,,,,,,,,
190.229.231.166,No,null,null,null,null,null,,,,,,,,
85.173.163.200,No,null,null,null,null,null,,,,,,,,
187.155.3.171,Yes,random,No,null,null,Linux,,,,,,,,
109.132.38.1,No,null,null,null,null,null,,,,,,,,
66.29.164.98,Yes,random,No,null,null,Cisco,,,,,,,,
81.164.160.229,Yes,incremental,No,null,null,Linux,,,,,,,,
75.190.249.79,No,null,null,null,null,null,,,,,,,,
97.83.236.110,No,null,null,null,null,null,,,,,,,,
151.95.116.207,No,null,null,null,null,null,,,,,,,,
46.234.80.87,Yes,random,No,null,null,Linux,,,,,,,,
88.120.219.8,No,null,null,null,null,null,,,,,,,,
78.242.214.2,Yes,incremental,Yes,zero,No,Linux,,,,,,,,
87.175.22.65,No,null,null,null,null,null,,,,,,,,
24.208.64.178,Yes,incremental,No,null,null,Linux,,,,,,,,
123.207.23.211,Yes,random,Yes,zero,No,Linux,,,,,,,,
76.103.86.132,Yes,random,Yes,zero,No,Linux,,,,,,,,
79.131.31.70,No,null,null,null,null,null,,,,,,,,
181.29.18.229,Yes,random,No,null,null,Linux,,,,,,,,
79.144.233.177,Yes,incremental,No,null,null,Linux,,,,,,,,
46.234.81.60,Yes,random,No,null,null,Linux,,,,,,,,
217.227.175.250,Yes,zero,No,null,null,Linux,,,,,,,,
204.112.191.70,No,null,null,null,null,null,,,,,,,,
181.223.175.145,No,null,null,null,null,null,,,,,,,,
187.199.182.111,Yes,incremental,No,null,null,Linux,,,,,,,,
78.35.80.119,No,null,null,null,null,null,,,,,,,,
77.8.12.158,Yes,incremental,No,null,null,Linux,,,,,,,,
66.170.64.29,No,null,null,null,null,null,,,,,,,,
72.68.92.110,Yes,random,No,null,null,Linux,,,,,,,,
94.214.219.199,Yes,incremental,No,null,null,Linux,,,,,,,,
94.69.107.206,No,null,null,null,null,null,,,,,,,,
106.75.71.81,Yes,random,Yes,zero,No,Linux,,,,,,,,
94.227.16.106,Yes,incremental,No,zero,No,Linux,,,,,,,,
190.189.43.42,No,null,null,null,null,null,,,,,,,,
186.50.210.129,No,null,null,null,null,null,,,,,,,,
87.123.114.230,Yes,zero,No,null,null,Linux,,,,,,,,
46.46.238.19,No,null,null,null,null,null,,,,,,,,
99.138.65.10,No,null,null,null,null,null,,,,,,,,
5.186.58.140,No,null,null,null,null,null,,,,,,,,
187.199.189.91,Yes,incremental,No,null,null,Linux,,,,,,,,
93.186.148.175,No,null,null,null,null,null,,,,,,,,
89.0.80.104,Yes,zero,No,null,null,Linux,,,,,,,,
45.43.62.235,No,null,null,null,null,null,,,,,,,,
108.26.191.36,Yes,random,No,null,null,Linux,,,,,,,,
79.193.235.221,Yes,zero,No,null,null,Linux,,,,,,,,
84.162.16.2,No,null,null,null,null,null,,,,,,,,
187.199.179.87,Yes,random,No,null,null,Linux,,,,,,,,
206.47.30.227,No,null,null,null,null,null,,,,,,,,
217.227.175.163,Yes,zero,No,null,null,Linux,,,,,,,,
98.253.72.24,No,null,null,null,null,null,,,,,,,,
81.227.243.119,Yes,incremental,No,null,null,Linux,,,,,,,,
217.88.115.103,Yes,zero,No,null,null,Linux,,,,,,,,
217.174.90.19,No,null,null,null,null,null,,,,,,,,
104.178.9.183,No,null,null,null,null,null,,,,,,,,
117.48.120.226,Yes,random,Yes,zero,No,Linux,,,,,,,,
91.41.163.19,No,null,null,null,null,null,,,,,,,,
93.41.152.122,Yes,incremental,No,null,null,Linux,,,,,,,,
79.202.31.72,No,null,null,null,null,null,,,,,,,,
84.162.9.91,No,null,null,null,null,null,,,,,,,,
82.73.31.93,Yes,incremental,No,null,null,Linux,,,,,,,,
87.11.39.37,Yes,incremental,No,null,null,Linux,,,,,,,,
37.247.80.148,Yes,zero,Yes,null,No,Linux,,,,,,,,
42.194.226.30,Yes,random,Yes,zero,No,Linux,,,,,,,,
189.230.137.234,Yes,incremental,No,zero,No,Linux,,,,,,,,
146.168.23.39,No,null,null,null,null,null,,,,,,,,
71.112.197.189,No,null,null,null,null,null,,,,,,,,
179.24.196.64,No,null,null,null,null,null,,,,,,,,
2.87.106.121,No,null,null,null,null,null,,,,,,,,
46.234.82.7,Yes,random,No,null,null,Linux,,,,,,,,
104.191.82.237,No,null,null,null,null,null,,,,,,,,
2.38.229.175,No,null,null,null,null,null,,,,,,,,
45.43.57.172,No,null,null,null,null,null,,,,,,,,
78.237.108.84,Yes,random,No,null,null,Linux,,,,,,,,
78.35.89.102,Yes,zero,No,null,null,Linux,,,,,,,,
116.88.135.110,No,null,null,null,null,null,,,,,,,,
37.179.155.213,No,null,null,null,null,null,,,,,,,,
24.6.215.42,No,null,null,null,null,null,,,,,,,,
1.52.128.25,Yes,incremental,No,null,null,Linux,,,,,,,,
190.206.167.196,No,null,null,null,null,null,,,,,,,,
101.36.105.97,No,null,null,null,null,null,,,,,,,,
87.148.51.111,Yes,zero,No,null,null,Linux,,,,,,,,
88.153.24.4,Yes,zero,No,null,null,Linux,,,,,,,,
143.178.250.176,No,null,null,null,null,null,,,,,,,,
78.116.146.104,Yes,incremental,No,null,null,Linux,,,,,,,,
71.190.199.35,No,null,null,null,null,null,,,,,,,,
2.98.14.198,No,null,null,null,null,null,,,,,,,,
89.247.113.58,Yes,zero,No,null,null,Linux,,,,,,,,
87.122.214.149,Yes,zero,No,null,null,Linux,,,,,,,,
78.217.251.26,Yes,random,No,null,null,Linux,,,,,,,,
79.114.126.208,Yes,random,No,null,null,Linux,,,,,,,,
189.230.53.106,Yes,random,No,null,null,Linux,,,,,,,,
51.9.236.50,No,null,null,null,null,null,,,,,,,,
151.40.166.99,No,null,null,null,null,null,,,,,,,,
78.125.58.176,Yes,incremental,No,null,null,Linux,,,,,,,,
177.143.63.244,No,null,null,null,null,null,,,,,,,,
47.205.178.156,Yes,random,No,null,null,Linux,,,,,,,,
151.40.226.152,No,null,null,null,null,null,,,,,,,,
187.199.187.188,Yes,incremental,No,null,null,Linux,,,,,,,,
107.192.1.138,No,null,null,null,null,null,,,,,,,,
187.180.9.175,No,null,null,null,null,null,,,,,,,,
24.96.134.101,No,null,null,null,null,null,,,,,,,,
177.139.153.77,No,null,null,null,null,null,,,,,,,,
84.180.6.23,No,null,null,null,null,null,,,,,,,,
36.231.41.228,No,null,null,null,null,null,,,,,,,,
84.141.18.112,No,null,null,null,null,null,,,,,,,,
151.40.235.218,No,null,null,null,null,null,,,,,,,,
98.115.33.203,Yes,incremental,No,null,null,Linux,,,,,,,,
79.117.136.240,Yes,incremental,Yes,zero,No,Linux,,,,,,,,
86.27.0.120,Yes,incremental,No,zero,No,Linux,,,,,,,,
217.43.13.240,No,null,null,null,null,null,,,,,,,,
2.4.152.184,No,null,null,null,null,null,,,,,,,,
186.137.172.15,Yes,random,No,null,null,Linux,,,,,,,,
108.31.218.244,Yes,random,No,null,null,Linux,,,,,,,,
146.212.139.101,No,null,null,null,null,null,,,,,,,,
87.166.210.157,No,null,null,null,null,null,,,,,,,,
217.93.185.74,Yes,zero,No,null,null,Linux,,,,,,,,
217.227.174.23,Yes,zero,No,null,null,Linux,,,,,,,,
73.84.83.253,Yes,incremental,No,null,null,Linux,,,,,,,,
42.194.230.121,Yes,random,Yes,zero,No,Linux,,,,,,,,
62.163.26.45,No,null,null,null,null,null,,,,,,,,
151.50.163.164,No,null,null,null,null,null,,,,,,,,
